con,upm,v_sel,n_hog,n_ren,n_ent,per,mes_cal,fac_tri,est_d_tri,t_loc_tri,sex,nac_dia,nac_mes,nac_anio,eda,c_res,eda7c,eda12c,clase1,clase2,clase3,pos_ocu,c_ocu11c,rama_est1,c_inac5c,ingocup,ing7c,ing_x_hrs,hrsocup,salario,ur,emp_ppal,seg_soc,niv_ins,anios_esc
40555,1102984,5,1,1,5,125,3,134,144,1,1,31,5,1950,74,1,6,11,1,1,2,1,5,3,0,0,1,0,2,8364,1,1,2,1,0
40555,1102984,5,1,2,5,125,3,134,144,1,1,18,10,1998,26,1,2,3,1,1,1,3,8,3,0,0,1,0,54,8364,1,2,2,3,9
40555,1102984,5,1,3,5,125,3,134,144,1,1,13,5,1967,57,1,5,9,2,3,0,0,0,0,2,0,0,0,0,8364,1,0,0,3,9
40328,1104049,3,1,4,5,125,2,176,144,1,1,4,10,2006,18,1,1,1,1,1,1,1,5,2,0,6450,1,33.33333,45,8364,1,1,3,4,12
40375,1103874,5,1,4,5,125,2,159,144,1,2,14,8,2003,21,1,2,2,2,4,0,0,0,0,2,0,0,0,0,8364,1,0,0,3,9
40288,1107135,53,1,3,4,125,2,98,721,3,1,15,5,1990,34,1,3,4,1,1,1,1,5,2,0,0,7,0,50,8364,1,2,1,4,14
40497,1106321,54,1,1,1,125,3,175,713,1,2,4,8,1960,64,1,6,10,1,1,1,1,8,3,0,6450,1,40.54054,37,8364,1,1,2,2,6
40549,1108750,51,1,1,1,125,3,150,723,4,2,16,9,1965,59,1,5,9,1,1,1,1,8,3,0,9030,2,43.75,48,8364,1,1,2,1,1
40565,1107570,54,1,3,1,125,1,105,714,1,1,3,6,1994,30,1,3,4,1,1,1,1,1,3,0,0,2,0,40,8364,1,2,1,4,12
40098,1103605,5,1,1,5,125,1,176,144,1,1,99,99,1971,54,1,5,8,1,1,1,1,3,3,0,0,7,0,40,8364,1,2,1,3,12
40324,1104436,1,1,2,5,125,2,186,146,1,2,22,9,1987,37,1,3,5,1,1,1,1,4,3,0,9800,2,56.97674,40,8364,1,2,1,4,12
40332,1107494,51,1,3,4,125,2,120,715,1,2,20,7,1985,39,1,3,5,2,4,0,0,0,0,2,0,0,0,0,8364,1,0,0,3,9
40500,1106468,51,1,2,1,125,1,220,713,1,1,2,6,1991,33,1,3,4,1,1,1,1,8,3,0,9460,2,91.66667,24,8364,1,2,1,2,7
40148,1105007,2,1,1,5,125,1,109,144,1,1,8,4,1979,45,1,4,7,1,1,1,1,5,2,0,13000,2,60.46512,50,8364,1,1,2,3,9
40487,1105676,76,1,4,1,125,1,92,713,1,1,22,12,2009,15,1,1,1,1,1,2,1,1,3,0,4300,1,500,2,8364,1,1,2,3,9
40489,1105838,53,1,2,1,125,1,222,713,1,1,5,12,2002,22,1,2,2,1,1,1,1,6,3,0,6450,1,83.33333,18,8364,1,1,2,4,15
40046,1108267,77,1,1,3,125,3,100,713,1,2,3,10,1977,47,1,4,7,2,4,0,0,0,0,2,0,0,0,0,8364,1,0,0,3,9
40241,1106381,52,1,4,4,125,2,175,713,1,1,16,1,1998,27,1,2,3,1,1,1,1,7,3,0,0,1,0,66,8364,1,2,1,4,12
40267,1108310,55,1,1,4,125,2,215,713,1,1,24,9,1947,77,1,6,11,1,1,1,1,3,3,0,0,7,0,40,8364,1,2,1,2,6
40267,1108310,55,1,2,4,125,2,215,713,1,2,24,12,1952,72,1,6,11,2,4,0,0,0,0,2,0,0,0,0,8364,1,0,0,2,6
40268,1108387,54,1,1,4,125,2,192,713,1,1,24,11,1991,33,1,3,4,2,4,0,0,0,0,5,0,0,0,0,8364,1,0,0,4,12
40509,1103264,4,1,2,5,125,3,156,145,1,2,1,1,1988,37,1,3,5,2,4,0,0,0,0,2,0,0,0,0,8364,1,0,0,4,12
40173,1106383,53,1,1,2,125,3,225,713,1,2,22,7,1963,61,1,6,10,1,1,1,1,8,3,0,0,1,0,40,8364,1,2,1,2,6
40524,1108268,53,1,4,1,125,2,165,713,1,2,99,99,2007,18,1,1,1,2,4,0,0,0,0,2,0,0,0,0,8364,1,0,0,3,9
40144,1107152,52,1,2,2,125,1,243,715,1,2,4,7,1984,40,1,4,6,2,4,0,0,0,0,2,0,0,0,0,8364,1,0,0,4,17
40291,1106728,54,1,3,4,125,3,85,723,4,2,6,4,1993,31,1,3,4,2,4,0,0,0,0,2,0,0,0,0,8364,1,0,0,2,6
40561,1104155,1,1,1,5,125,3,127,145,1,1,18,6,1991,33,1,3,4,1,1,1,3,6,3,0,0,7,0,48,8364,1,1,2,3,9
40317,1109040,51,1,3,4,125,3,223,714,1,2,1,6,1967,57,3,5,9,2,4,0,0,0,0,5,0,0,0,0,8364,1,0,0,4,12
40056,1108843,51,1,3,3,125,1,188,713,1,2,29,11,2003,21,1,2,2,1,1,2,4,4,3,0,0,6,0,25,8364,1,1,2,4,15
40327,1106561,53,1,3,4,125,2,252,715,1,1,99,1,2007,18,1,1,1,2,4,0,0,0,0,1,0,0,0,0,8364,1,0,0,3,11
40505,1106889,51,1,2,1,125,2,189,713,1,2,99,99,1979,46,1,4,7,1,1,1,1,5,2,0,9460,2,36.66667,60,8364,1,2,1,3,9
40050,1102605,3,1,1,5,125,1,98,144,1,2,16,6,1980,44,1,4,6,2,3,0,0,0,0,2,0,0,0,0,8364,1,0,0,2,6
40330,1104636,5,1,2,5,125,2,151,145,1,2,12,12,2003,21,1,2,2,2,4,0,0,0,0,1,0,0,0,0,8364,1,0,0,4,12
40519,1108077,54,1,1,1,125,2,155,713,1,2,20,1,1992,33,1,3,4,1,1,1,1,4,3,0,3870,1,30,30,8364,1,2,1,3,9
40122,1107698,54,1,1,2,125,1,226,714,1,2,28,8,1957,67,1,6,11,1,1,1,1,8,3,0,8385,2,139.28571,14,8364,1,1,2,2,6
40039,1107979,51,1,2,3,125,3,159,713,1,1,15,8,2008,16,1,1,1,1,1,1,1,6,3,0,0,1,0,25,8364,1,1,2,3,10
40191,1102631,4,1,1,5,125,1,174,146,1,2,1,7,1954,70,1,6,11,2,4,0,0,0,0,3,0,0,0,0,8364,1,0,0,4,23
40297,1106046,54,1,2,4,125,3,181,714,1,1,99,99,1978,47,1,4,7,1,1,1,1,1,3,0,0,2,0,45,8364,1,2,1,4,17
40549,1108750,51,1,2,1,125,3,150,723,4,1,30,1,1988,37,1,3,5,2,4,0,0,0,0,2,0,0,0,0,8364,1,0,0,3,9
40295,1105709,51,1,1,4,125,1,185,714,1,1,5,4,1962,62,1,6,10,2,4,0,0,0,0,2,0,0,0,0,8364,1,0,0,3,9
40126,1108050,52,1,2,2,125,2,209,714,1,2,99,99,1939,86,1,6,11,2,4,0,0,0,0,2,0,0,0,0,8364,1,0,0,2,6
40247,1106827,53,1,4,4,125,3,205,713,1,2,3,2,2010,15,1,1,1,2,4,0,0,0,0,1,0,0,0,0,8364,1,0,0,2,7
40334,1107617,52,1,2,4,125,1,232,715,1,1,6,11,1998,26,1,2,3,1,1,1,1,5,2,0,0,7,0,48,8364,1,1,2,4,12
40574,1109027,52,1,1,1,125,1,179,714,1,2,5,7,1951,73,1,6,11,2,4,0,0,0,0,2,0,0,0,0,8364,1,0,0,2,6
40019,1106319,52,1,1,3,125,2,230,713,1,1,21,5,1960,64,1,6,10,2,3,0,0,0,0,3,0,0,0,0,8364,1,0,0,1,0
40231,1106448,53,1,1,2,125,1,133,714,1,1,30,5,1948,76,1,6,11,2,4,0,0,0,0,3,0,0,0,0,8364,1,0,0,3,9
40556,1106299,54,1,2,1,125,1,165,714,1,2,18,8,1949,75,1,6,11,2,4,0,0,0,0,3,0,0,0,0,8364,1,0,0,3,9
40588,1107039,77,1,1,1,125,3,55,715,1,1,30,6,1973,51,1,5,8,1,1,1,2,3,3,0,0,7,0,55,8364,1,2,2,4,12
40093,1108086,55,1,1,3,125,1,253,714,1,1,31,7,1964,60,1,6,10,1,1,1,1,5,2,0,12900,2,60,50,8364,1,2,1,1,3
40236,1103436,3,1,3,5,125,2,188,144,1,2,11,6,1992,32,1,3,4,1,1,1,1,5,2,0,7740,1,36,50,8364,1,2,1,3,9
40316,1108825,55,1,5,4,125,1,138,714,1,2,9,3,2008,16,1,1,1,2,4,0,0,0,0,1,0,0,0,0,8364,1,0,0,3,9
40329,1106895,53,1,1,4,125,1,236,715,1,1,4,1,1995,30,1,3,4,1,1,1,1,6,3,0,17000,3,68.16359,58,8364,1,2,1,4,17
40513,1107738,54,1,1,1,125,1,168,713,1,2,22,3,1970,54,1,5,8,2,4,0,0,0,0,2,0,0,0,0,8364,1,0,0,3,9
40566,1107656,52,1,1,1,125,3,212,714,1,1,1,8,1938,86,1,6,11,2,4,0,0,0,0,3,0,0,0,0,8364,1,0,0,1,2
40051,1104902,5,1,2,5,125,1,124,144,1,2,3,5,1982,42,1,4,6,2,3,0,0,0,0,2,0,0,0,0,8364,1,0,0,3,9
40240,1107626,54,1,5,2,125,1,179,714,1,1,11,12,2004,20,1,2,2,2,4,0,0,0,0,1,0,0,0,0,8364,1,0,0,4,12
40515,1107885,52,1,4,1,125,1,178,713,1,2,9,8,1996,28,1,2,3,1,1,1,1,4,3,0,8600,2,43.47826,46,8364,1,2,1,4,12
